RegionName,Year,Month,HousePrice
Alabama,2000,1,67950.38353438488
Alabama,2000,2,67958.17034602101
Alabama,2000,3,68037.34886091233
Alabama,2000,4,68241.02835142557
Alabama,2000,5,68529.15949433969
Alabama,2000,6,68774.98824428028
Alabama,2000,7,68986.1657508565
Alabama,2000,8,69252.78629477402
Alabama,2000,9,69590.2007196593
Alabama,2000,10,69903.18536946499
Alabama,2000,11,70224.74907608911
Alabama,2000,12,70621.06837370901
Alabama,2001,1,71075.95580782715
Alabama,2001,2,71459.70050271401
Alabama,2001,3,71814.97074776764
Alabama,2001,4,72099.14059586044
Alabama,2001,5,72420.73938836553
Alabama,2001,6,72846.1741911617
Alabama,2001,7,73340.26194677192
Alabama,2001,8,73730.69568414582
Alabama,2001,9,74025.09229889921
Alabama,2001,10,74156.13962929285
Alabama,2001,11,74305.61665497997
Alabama,2001,12,74361.29169151867
Alabama,2002,1,74404.39021134573
Alabama,2002,2,74413.79120270896
Alabama,2002,3,74423.75608025504
Alabama,2002,4,74716.34002774805
Alabama,2002,5,75215.31406113594
Alabama,2002,6,75783.31185406736
Alabama,2002,7,76256.95545075343
Alabama,2002,8,76405.68222010942
Alabama,2002,9,76377.92391015723
Alabama,2002,10,76167.39902967241
Alabama,2002,11,76028.85891583328
Alabama,2002,12,76034.02976517213
Alabama,2003,1,76198.61252766776
Alabama,2003,2,76599.90660954798
Alabama,2003,3,77036.94418051415
Alabama,2003,4,77338.76978710522
Alabama,2003,5,77401.41554837629
Alabama,2003,6,77275.05844649073
Alabama,2003,7,77297.28381587112
Alabama,2003,8,77449.24224333173
Alabama,2003,9,77925.9082399097
Alabama,2003,10,78355.78456689992
Alabama,2003,11,78875.49079364668
Alabama,2003,12,79181.76233619191
Alabama,2004,1,79595.59696383117
Alabama,2004,2,79894.65395682941
Alabama,2004,3,80236.91789425844
Alabama,2004,4,80659.0838118049
Alabama,2004,5,81139.48890566081
Alabama,2004,6,81666.24428426752
Alabama,2004,7,82221.23700688465
Alabama,2004,8,82877.23988050713
Alabama,2004,9,83574.00227015803
Alabama,2004,10,84191.03947785124
Alabama,2004,11,84751.4717334475
Alabama,2004,12,85395.7792030046
Alabama,2005,1,86035.54727675467
Alabama,2005,2,86654.45470796233
Alabama,2005,3,87259.24094967177
Alabama,2005,4,87791.79264688853
Alabama,2005,5,88512.14018122261
Alabama,2005,6,89186.68898792316
Alabama,2005,7,89939.12297873542
Alabama,2005,8,90606.4192156
Alabama,2005,9,91234.28668903855
Alabama,2005,10,91840.92458062213
Alabama,2005,11,92575.84306679164
Alabama,2005,12,93547.00200122836
Alabama,2006,1,94614.93114813276
Alabama,2006,2,95757.01032084356
Alabama,2006,3,96746.83787419573
Alabama,2006,4,97721.53352067221
Alabama,2006,5,98407.5098024022
Alabama,2006,6,99100.66851440119
Alabama,2006,7,99849.8701015067
Alabama,2006,8,100795.81066015539
Alabama,2006,9,101683.37395483693
Alabama,2006,10,102431.3513557888
Alabama,2006,11,103125.58298364637
Alabama,2006,12,103862.12109211457
Alabama,2007,1,104699.63175136957
Alabama,2007,2,105526.07778939472
Alabama,2007,3,106329.17431951268
Alabama,2007,4,106925.80109264248
Alabama,2007,5,107321.35287494189
Alabama,2007,6,107720.1608722727
Alabama,2007,7,108154.73872618664
Alabama,2007,8,108441.21936129144
Alabama,2007,9,108661.24242433504
Alabama,2007,10,108880.95079447996
Alabama,2007,11,109036.6879320601
Alabama,2007,12,108852.43519980756
Alabama,2008,1,108102.05463794428
Alabama,2008,2,107249.51498793316
Alabama,2008,3,106495.30148590422
Alabama,2008,4,105796.16672685886
Alabama,2008,5,105920.530867579
Alabama,2008,6,106334.75843196292
Alabama,2008,7,106966.06359801954
Alabama,2008,8,107061.45845542107
Alabama,2008,9,106783.54239088604
Alabama,2008,10,106389.61234863802
Alabama,2008,11,105655.68990591103
Alabama,2008,12,104889.49570357957
Alabama,2009,1,104260.72226423275
Alabama,2009,2,103817.52627843892
Alabama,2009,3,103325.62883660232
Alabama,2009,4,102525.92498976174
Alabama,2009,5,101477.32887581804
Alabama,2009,6,100432.17983033578
Alabama,2009,7,99723.5671321667
Alabama,2009,8,99242.09532966989
Alabama,2009,9,98693.90347391227
Alabama,2009,10,97997.40046122037
Alabama,2009,11,97047.37880835793
Alabama,2009,12,96333.57568381033
Alabama,2010,1,95962.8091381846
Alabama,2010,2,96092.21497119637
Alabama,2010,3,96076.86597512019
Alabama,2010,4,95587.81739700373
Alabama,2010,5,94555.52366353813
Alabama,2010,6,93095.9871830267
Alabama,2010,7,91682.82635318764
Alabama,2010,8,90255.54995124663
Alabama,2010,9,89326.06970386443
Alabama,2010,10,88632.86160049347
Alabama,2010,11,88376.72399481668
Alabama,2010,12,87878.92036178778
Alabama,2011,1,87268.42145031731
Alabama,2011,2,86606.86040464134
Alabama,2011,3,86264.24861363742
Alabama,2011,4,86181.99450335473
Alabama,2011,5,86142.52701218081
Alabama,2011,6,86122.95611481508
Alabama,2011,7,85768.31548911937
Alabama,2011,8,85310.72480234336
Alabama,2011,9,84684.21924486857
Alabama,2011,10,83859.98341109401
Alabama,2011,11,82922.07351178491
Alabama,2011,12,82111.81453898376
Alabama,2012,1,81918.23529266013
Alabama,2012,2,82286.3996713704
Alabama,2012,3,83212.9951364037
Alabama,2012,4,84150.08458632986
Alabama,2012,5,85069.10648433231
Alabama,2012,6,86036.13785790643
Alabama,2012,7,87380.27139198952
Alabama,2012,8,88661.32403412489
Alabama,2012,9,89907.05777585275
Alabama,2012,10,90754.38885873492
Alabama,2012,11,91386.21518535439
Alabama,2012,12,91581.774154227
Alabama,2013,1,91419.22843784653
Alabama,2013,2,91142.70015781338
Alabama,2013,3,90887.2178936532
Alabama,2013,4,90979.18520825077
Alabama,2013,5,91245.92959107034
Alabama,2013,6,91519.51387905945
Alabama,2013,7,91601.61184843804
Alabama,2013,8,91820.71918494141
Alabama,2013,9,92219.642429575
Alabama,2013,10,92927.9467162612
Alabama,2013,11,93398.18943512993
Alabama,2013,12,93645.62310066144
Alabama,2014,1,93526.8269440524
Alabama,2014,2,93278.86697087176
Alabama,2014,3,93246.72732967658
Alabama,2014,4,93642.64922618972
Alabama,2014,5,94425.28617720547
Alabama,2014,6,95070.62193042297
Alabama,2014,7,95665.22575434312
Alabama,2014,8,96040.29499352886
Alabama,2014,9,96256.89516884637
Alabama,2014,10,96163.69607667018
Alabama,2014,11,96063.28199196352
Alabama,2014,12,96046.5527671799
Alabama,2015,1,95863.49998764225
Alabama,2015,2,95503.67621181812
Alabama,2015,3,95344.23570508717
Alabama,2015,4,95656.38369665344
Alabama,2015,5,96170.1972646598
Alabama,2015,6,96538.01221691092
Alabama,2015,7,96775.33179779164
Alabama,2015,8,97133.16715830873
Alabama,2015,9,97334.22098722012
Alabama,2015,10,97617.66652006166
Alabama,2015,11,97773.25338050217
Alabama,2015,12,98144.80541942391
Alabama,2016,1,98590.52278926775
Alabama,2016,2,98996.52293364123
Alabama,2016,3,99157.33668303199
Alabama,2016,4,99513.78198581046
Alabama,2016,5,99951.01129661068
Alabama,2016,6,100569.81651934586
Alabama,2016,7,100660.94805234027
Alabama,2016,8,100656.97578149891
Alabama,2016,9,100756.4986767062
Alabama,2016,10,101086.84689801268
Alabama,2016,11,101629.96858587573
Alabama,2016,12,102075.7759775404
Alabama,2017,1,102198.14458087207
Alabama,2017,2,102160.09967138826
Alabama,2017,3,102151.09943924012
Alabama,2017,4,102348.34676289011
Alabama,2017,5,102448.8537999775
Alabama,2017,6,102510.56309637267
Alabama,2017,7,103084.47021616247
Alabama,2017,8,104127.04832929326
Alabama,2017,9,105261.86282755752
Alabama,2017,10,106199.37430449195
Alabama,2017,11,106877.23509815877
Alabama,2017,12,107712.52699874542
Alabama,2018,1,108376.22127554697
Alabama,2018,2,109033.91370407092
Alabama,2018,3,109658.69357939226
Alabama,2018,4,110392.4257744276
Alabama,2018,5,111234.26069910283
Alabama,2018,6,111980.41964974294
Alabama,2018,7,112851.74945476295
Alabama,2018,8,113677.98624524205
Alabama,2018,9,114503.92457325455
Alabama,2018,10,115116.44810364039
Alabama,2018,11,115840.33809289873
Alabama,2018,12,116770.06201659405
Alabama,2019,1,117769.72099237365
